p s t mem
0.1 0 0.02545 9408.00000
0.1 15 0.03636 9418.54545
0.1 30 1.30273 9831.63636
0.1 45 13.40727 10798.18182
0.1 60 68.85455 12933.45455
0.1 75 234.37909 17521.81818
0.1 90 656.64000 21104.00000
0.5 0 0.02545 9397.09091
0.5 15 0.25364 9781.81818
0.5 30 10.89000 11992.00000
0.5 45 82.43364 18632.72727
0.5 60 385.04727 28708.72727
0.5 75 1304.14727 45503.63636
0.5 90 3589.76727 76120.36364
1 0 0.02455 9426.54545
1 15 0.51909 9994.54545
1 30 21.53727 14704.36364
1 45 171.30636 27655.63636
1 60 909.36091 45530.54545
