p s t mem
0.1 0 0.02545 9422.18182
0.1 20 0.03455 9543.63636
0.1 40 0.28000 10104.00000
0.1 60 2.05909 11417.45455
0.1 80 8.95545 14740.36364
0.1 100 26.57091 21769.45455
0.1 120 58.77818 26429.81818
0.5 0 0.02364 9443.63636
0.5 20 0.09364 9901.81818
0.5 40 2.21000 13629.45455
0.5 60 12.74091 23306.54545
0.5 80 46.30364 32852.72727
0.5 100 131.56818 55960.36364
0.5 120 323.56636 98333.45455
1 0 0.02273 9401.81818
1 20 0.19182 10564.36364
1 40 4.19182 16381.09091
1 60 25.88000 31483.63636
1 80 95.19273 57591.63636
1 100 302.26182 104796.00000
1 120 661.83909 180984.72727
