p s w t mem
0.1 0 100 0.02455 9494.90909
0.1 0 2000 0.02273 9480.36364
0.1 0 5000 0.02455 9507.63636
0.1 0 10000 0.02182 9469.81818
0.1 100 100 0.52273 9859.63636
0.1 100 2000 1.01818 10062.90909
0.1 100 5000 0.94273 10131.63636
0.1 100 10000 1.04182 10074.18182
0.1 200 100 2.76636 10586.18182
0.1 200 2000 7.90818 11617.09091
0.1 200 5000 8.18909 11611.27273
0.1 200 10000 8.78000 11717.81818
0.1 300 100 7.26182 12102.18182
0.1 300 2000 25.05364 14636.72727
0.1 300 5000 30.47091 14651.63636
0.1 300 10000 34.67182 14777.81818
0.1 400 100 14.86636 14188.00000
0.1 400 2000 48.84273 18621.09091
0.1 400 5000 72.00909 18626.54545
0.1 400 10000 78.45818 18646.18182
0.1 500 100 24.58273 17054.54545
0.1 500 2000 89.61182 23353.81818
0.1 500 5000 120.80273 23615.63636
0.1 500 10000 142.39818 23754.18182
0.5 0 100 0.02545 9456.00000
0.5 0 2000 0.02364 9460.36364
0.5 0 5000 0.02273 9482.90909
0.5 0 10000 0.02182 9466.54545
0.5 100 100 0.22727 10056.72727
0.5 100 2000 0.78273 10161.09091
0.5 100 5000 0.90909 10237.45455
0.5 100 10000 0.86818 10194.54545
0.5 200 100 1.30364 11649.45455
0.5 200 2000 5.12636 12143.27273
0.5 200 5000 7.12727 12278.18182
0.5 200 10000 8.21091 12238.18182
0.5 300 100 4.16091 14500.72727
0.5 300 2000 12.51091 15609.45455
0.5 300 5000 18.73727 15735.27273
0.5 300 10000 24.69455 15792.72727
0.5 400 100 8.93364 18428.36364
0.5 400 2000 25.73364 20461.81818
0.5 400 5000 38.57909 20570.18182
0.5 400 10000 50.78818 20713.09091
0.5 500 100 15.27091 23545.45455
0.5 500 2000 41.18636 26592.72727
0.5 500 5000 64.43545 27112.72727
0.5 500 10000 87.73818 27034.90909
1 0 100 0.02091 9468.00000
1 0 2000 0.02000 9392.72727
1 0 5000 0.02545 9438.90909
1 0 10000 0.02182 9478.18182
1 100 100 0.19364 10348.00000
1 100 2000 0.65364 10491.27273
1 100 5000 0.74091 10433.09091
1 100 10000 0.96727 10465.09091
1 200 100 0.93455 13016.72727
1 200 2000 3.57545 14123.63636
1 200 5000 5.29273 14061.45455
1 200 10000 6.63636 14133.09091
1 300 100 2.62545 17442.18182
1 300 2000 9.95091 19859.63636
1 300 5000 13.50000 19766.54545
1 300 10000 21.53909 20069.09091
1 400 100 5.05727 23690.18182
1 400 2000 18.77364 27427.27273
1 400 5000 26.84364 28070.90909
1 400 10000 36.47455 27959.27273
1 500 100 7.12818 31390.90909
1 500 2000 31.26273 37969.81818
1 500 5000 44.82727 37896.72727
1 500 10000 66.04091 38915.63636
